_id,champion_id,augment_id,stage,win_rate,sample_size,tier,patch_version,updated_at
"2077_11_global_26.12",,2077,11,51.77,10493,"A","26.12","2026-06-27T10:48:15.368Z"
"2077_15_global_26.12",,2077,15,51.43,11881,"A","26.12","2026-06-27T10:48:15.368Z"
"2077_18_global_26.12",,2077,18,74.14,116,"S","26.12","2026-06-27T10:48:15.368Z"
"2095_3_global_26.12",,2095,3,55.05,110996,"S","26.12","2026-06-27T10:48:15.368Z"
"2095_7_global_26.12",,2095,7,55.6,111925,"S","26.12","2026-06-27T10:48:15.368Z"
"2095_11_global_26.12",,2095,11,59.59,147806,"S","26.12","2026-06-27T10:48:15.368Z"
"2095_15_global_26.12",,2095,15,56.57,115538,"S","26.12","2026-06-27T10:48:15.368Z"
"2095_18_global_26.12",,2095,18,66.84,193,"B","26.12","2026-06-27T10:48:15.368Z"
"1080_3_global_26.12",,1080,3,48.19,36180,"C","26.12","2026-06-27T10:48:15.368Z"
"1080_7_global_26.12",,1080,7,47.91,48514,"C","26.12","2026-06-27T10:48:15.368Z"
"1080_11_global_26.12",,1080,11,49.33,61656,"B","26.12","2026-06-27T10:48:15.368Z"
"1080_15_global_26.12",,1080,15,48.46,55354,"B","26.12","2026-06-27T10:48:15.368Z"
"1080_18_global_26.12",,1080,18,70.55,421,"S","26.12","2026-06-27T10:48:15.368Z"
"1220_3_global_26.12",,1220,3,45.17,5530,"D","26.12","2026-06-27T10:48:15.368Z"
"1220_7_global_26.12",,1220,7,45.06,19374,"D","26.12","2026-06-27T10:48:15.368Z"
"1220_11_global_26.12",,1220,11,46.9,20552,"D","26.12","2026-06-27T10:48:15.368Z"
"1220_15_global_26.12",,1220,15,48.58,21301,"C","26.12","2026-06-27T10:48:15.368Z"
"1029_3_global_26.12",,1029,3,52.07,6341,"A","26.12","2026-06-27T10:48:15.368Z"
"1029_7_global_26.12",,1029,7,48.95,7728,"B","26.12","2026-06-27T10:48:15.368Z"
"1320_3_global_26.12",,1320,3,49.65,18192,"B","26.12","2026-06-27T10:48:15.369Z"
"1320_7_global_26.12",,1320,7,48.68,25742,"B","26.12","2026-06-27T10:48:15.369Z"
"1320_11_global_26.12",,1320,11,48.63,37950,"B","26.12","2026-06-27T10:48:15.369Z"
"1320_15_global_26.12",,1320,15,47.24,40956,"C","26.12","2026-06-27T10:48:15.369Z"
"1037_3_global_26.12",,1037,3,48.19,1297,"C","26.12","2026-06-27T10:48:15.369Z"
"1037_7_global_26.12",,1037,7,49.3,4460,"B","26.12","2026-06-27T10:48:15.369Z"
"1037_11_global_26.12",,1037,11,50.54,7077,"B","26.12","2026-06-27T10:48:15.369Z"
"1037_15_global_26.12",,1037,15,51.26,10514,"A","26.12","2026-06-27T10:48:15.369Z"
"1344_3_global_26.12",,1344,3,49.97,85483,"B","26.12","2026-06-27T10:48:15.369Z"
"1344_7_global_26.12",,1344,7,49.63,80491,"B","26.12","2026-06-27T10:48:15.369Z"
"1344_11_global_26.12",,1344,11,49.45,89483,"A","26.12","2026-06-27T10:48:15.369Z"
"1344_15_global_26.12",,1344,15,47.49,67839,"C","26.12","2026-06-27T10:48:15.369Z"
"1344_18_global_26.12",,1344,18,66.1,59,"B","26.12","2026-06-27T10:48:15.369Z"
"1020_3_global_26.12",,1020,3,45.91,2884,"D","26.12","2026-06-27T10:48:15.369Z"
"1020_7_global_26.12",,1020,7,45.8,5803,"D","26.12","2026-06-27T10:48:15.369Z"
"1020_11_global_26.12",,1020,11,46.61,11896,"D","26.12","2026-06-27T10:48:15.369Z"
"1020_15_global_26.12",,1020,15,46.54,20033,"D","26.12","2026-06-27T10:48:15.369Z"
"1053_3_global_26.12",,1053,3,52.97,3287,"A","26.12","2026-06-27T10:48:15.369Z"
"1053_7_global_26.12",,1053,7,52.37,12814,"A","26.12","2026-06-27T10:48:15.369Z"
"1053_11_global_26.12",,1053,11,52.1,18527,"A","26.12","2026-06-27T10:48:15.369Z"
"1053_15_global_26.12",,1053,15,51.47,24948,"A","26.12","2026-06-27T10:48:15.369Z"
"2100_3_global_26.12",,2100,3,50.74,74444,"B","26.12","2026-06-27T10:48:15.369Z"
"2100_7_global_26.12",,2100,7,50.11,75552,"B","26.12","2026-06-27T10:48:15.369Z"
"2100_11_global_26.12",,2100,11,50.76,87336,"A","26.12","2026-06-27T10:48:15.369Z"
"2100_15_global_26.12",,2100,15,49.52,74511,"B","26.12","2026-06-27T10:48:15.369Z"
"2100_18_global_26.12",,2100,18,52.33,86,"D","26.12","2026-06-27T10:48:15.369Z"
"1098_3_global_26.12",,1098,3,48.65,13842,"C","26.12","2026-06-27T10:48:15.369Z"
"1098_7_global_26.12",,1098,7,49.02,17562,"B","26.12","2026-06-27T10:48:15.369Z"
"1098_11_global_26.12",,1098,11,50.63,21328,"B","26.12","2026-06-27T10:48:15.369Z"
"1098_15_global_26.12",,1098,15,49.55,19754,"B","26.12","2026-06-27T10:48:15.369Z"
"1087_3_global_26.12",,1087,3,52.58,21493,"A","26.12","2026-06-27T10:48:15.369Z"
"1087_7_global_26.12",,1087,7,51.76,63852,"A","26.12","2026-06-27T10:48:15.369Z"
"1087_11_global_26.12",,1087,11,52,63558,"A","26.12","2026-06-27T10:48:15.369Z"
"1087_15_global_26.12",,1087,15,51,61316,"A","26.12","2026-06-27T10:48:15.369Z"
"1237_3_global_26.12",,1237,3,47.03,65091,"C","26.12","2026-06-27T10:48:15.369Z"
"1237_7_global_26.12",,1237,7,45.05,4264,"D","26.12","2026-06-27T10:48:15.369Z"
"1237_11_global_26.12",,1237,11,46.38,5895,"D","26.12","2026-06-27T10:48:15.369Z"
"1237_15_global_26.12",,1237,15,46.21,5665,"D","26.12","2026-06-27T10:48:15.369Z"
"2111_3_global_26.12",,2111,3,55.54,32436,"S","26.12","2026-06-27T10:48:15.369Z"
"2111_7_global_26.12",,2111,7,54.59,35534,"S","26.12","2026-06-27T10:48:15.369Z"
"2111_11_global_26.12",,2111,11,54.36,42739,"S","26.12","2026-06-27T10:48:15.369Z"
"2111_15_global_26.12",,2111,15,52.28,40596,"A","26.12","2026-06-27T10:48:15.369Z"
"1044_3_global_26.12",,1044,3,46.71,2415,"D","26.12","2026-06-27T10:48:15.369Z"
"1044_7_global_26.12",,1044,7,47.28,9759,"C","26.12","2026-06-27T10:48:15.369Z"
"1044_11_global_26.12",,1044,11,46.75,9165,"D","26.12","2026-06-27T10:48:15.369Z"
"1044_15_global_26.12",,1044,15,46.71,8873,"D","26.12","2026-06-27T10:48:15.369Z"
"1170_3_global_26.12",,1170,3,53.52,39669,"A","26.12","2026-06-27T10:48:15.369Z"
"1170_7_global_26.12",,1170,7,52.32,46521,"A","26.12","2026-06-27T10:48:15.369Z"
"1170_11_global_26.12",,1170,11,53.15,49118,"A","26.12","2026-06-27T10:48:15.369Z"
"1170_15_global_26.12",,1170,15,52.26,45203,"A","26.12","2026-06-27T10:48:15.369Z"
"1170_18_global_26.12",,1170,18,75.45,220,"S","26.12","2026-06-27T10:48:15.369Z"
"1056_3_global_26.12",,1056,3,58.96,63458,"S","26.12","2026-06-27T10:48:15.369Z"
"1056_7_global_26.12",,1056,7,57.76,72974,"S","26.12","2026-06-27T10:48:15.369Z"
"1056_11_global_26.12",,1056,11,57.68,73783,"S","26.12","2026-06-27T10:48:15.369Z"
"1056_15_global_26.12",,1056,15,56.24,66027,"S","26.12","2026-06-27T10:48:15.369Z"
"1056_18_global_26.12",,1056,18,72.96,233,"S","26.12","2026-06-27T10:48:15.369Z"
"1048_3_global_26.12",,1048,3,50.72,694,"B","26.12","2026-06-27T10:48:15.369Z"
"1048_7_global_26.12",,1048,7,50.15,2584,"B","26.12","2026-06-27T10:48:15.369Z"
"1048_11_global_26.12",,1048,11,49.81,3666,"B","26.12","2026-06-27T10:48:15.369Z"
"1048_15_global_26.12",,1048,15,50.93,4891,"A","26.12","2026-06-27T10:48:15.369Z"
"1318_3_global_26.12",,1318,3,46.31,4323,"D","26.12","2026-06-27T10:48:15.369Z"
"1318_7_global_26.12",,1318,7,46.33,7397,"D","26.12","2026-06-27T10:48:15.369Z"
"1318_11_global_26.12",,1318,11,48.82,14948,"C","26.12","2026-06-27T10:48:15.369Z"
