_id,riot_id,win_rate,pick_rate,champions_count,tier,patch_version,updated_at
"1063",1063,49.7,9.86,47,"B","26.12","2026-06-27T11:00:24.535Z"
"2043",2043,49.67,1.07,46,"B","26.12","2026-06-27T11:00:24.535Z"
"2016",2016,49.62,1.08,30,"B","26.12","2026-06-27T11:00:24.535Z"
"1018",1018,49.61,5.84,41,"B","26.12","2026-06-27T11:00:24.535Z"
"1323",1323,49.6,5.43,38,"B","26.12","2026-06-27T11:00:24.535Z"
"1046",1046,49.58,1.27,83,"B","26.12","2026-06-27T11:00:24.535Z"
"1349",1349,49.57,3.76,56,"B","26.12","2026-06-27T11:00:24.535Z"
"2072",2072,49.53,5.88,15,"B","26.12","2026-06-27T11:00:24.535Z"
"1392",1392,49.49,0.28,34,"B","26.12","2026-06-27T11:00:24.535Z"
"2135",2135,49.49,5.34,1,"B","26.12","2026-06-27T11:00:24.535Z"
"2009",2009,49.47,6.75,22,"B","26.12","2026-06-27T11:00:24.535Z"
"2144",2144,49.46,4.01,7,"B","26.12","2026-06-27T11:00:24.535Z"
"1413",1413,49.42,3.13,41,"B","26.12","2026-06-27T11:00:24.535Z"
"1318",1318,49.39,7.98,55,"B","26.12","2026-06-27T11:00:24.535Z"
"2087",2087,49.34,6.07,52,"B","26.12","2026-06-27T11:00:24.535Z"
"1072",1072,49.29,2.06,40,"B","26.12","2026-06-27T11:00:24.535Z"
"1320",1320,49.25,11.44,42,"B","26.12","2026-06-27T11:00:24.535Z"
"2034",2034,49.22,0.78,40,"B","26.12","2026-06-27T11:00:24.535Z"
"1088",1088,49.21,5.83,36,"B","26.12","2026-06-27T11:00:24.535Z"
"1138",1138,49.21,9.07,135,"B","26.12","2026-06-27T11:00:24.535Z"
"2073",2073,49.19,2.94,13,"B","26.12","2026-06-27T11:00:24.535Z"
"2091",2091,49.1,2.2,38,"B","26.12","2026-06-27T11:00:24.535Z"
"1136",1136,49.05,5.96,74,"B","26.12","2026-06-27T11:00:24.535Z"
"1322",1322,49.01,6.31,62,"B","26.12","2026-06-27T11:00:24.535Z"
"2133",2133,49,20.2,7,"B","26.12","2026-06-27T11:00:24.535Z"
"2088",2088,48.96,0.68,45,"B","26.12","2026-06-27T11:00:24.535Z"
"2082",2082,48.86,1.1,51,"B","26.12","2026-06-27T11:00:24.535Z"
"1375",1375,48.83,11.94,33,"B","26.12","2026-06-27T11:00:24.535Z"
"2134",2134,48.76,0.79,20,"B","26.12","2026-06-27T11:00:24.535Z"
"2107",2107,48.73,3.52,54,"B","26.12","2026-06-27T11:00:24.535Z"
"1324",1324,48.7,6.44,14,"B","26.12","2026-06-27T11:00:24.535Z"
"2098",2098,48.69,2.54,107,"B","26.12","2026-06-27T11:00:24.535Z"
"2115",2115,48.67,0.86,17,"B","26.12","2026-06-27T11:00:24.535Z"
"1194",1194,48.63,6.8,26,"B","26.12","2026-06-27T11:00:24.535Z"
"1214",1214,48.58,13.08,19,"B","26.12","2026-06-27T11:00:24.535Z"
"1027",1027,48.47,2.46,33,"B","26.12","2026-06-27T11:00:24.535Z"
"2005",2005,48.32,1.89,60,"B","26.12","2026-06-27T11:00:24.535Z"
"2026",2026,48.32,1.14,93,"B","26.12","2026-06-27T11:00:24.535Z"
"1047",1047,48.25,4.85,25,"B","26.12","2026-06-27T11:00:24.535Z"
"1113",1113,48.21,17.26,19,"B","26.12","2026-06-27T11:00:24.535Z"
"2024",2024,48.12,3.7,15,"B","26.12","2026-06-27T11:00:24.535Z"
"1025",1025,48.11,1.16,62,"B","26.12","2026-06-27T11:00:24.535Z"
"2077",2077,47.89,12.7,46,"B","26.12","2026-06-27T11:00:24.535Z"
"1211",1211,47.85,13.59,29,"B","26.12","2026-06-27T11:00:24.535Z"
"1001",1001,47.75,3.45,41,"B","26.12","2026-06-27T11:00:24.534Z"
"1019",1019,47.72,9.49,36,"B","26.12","2026-06-27T11:00:24.535Z"
