_id,augment_ids,champion_id,win_rate,sample_size,tier,patch_version,updated_at
1030_1097_2087_null_26.12,"[1030,1097,2087]",,0,191,S,26.12,2026-06-29T10:17:34.720Z
1030_1133_2087_null_26.12,"[1030,1133,2087]",,0,173,S,26.12,2026-06-29T10:17:34.720Z
1098_1113_2087_null_26.12,"[1098,1113,2087]",,0,126,S,26.12,2026-06-29T10:17:34.720Z
1097_1098_1388_null_26.12,"[1097,1098,1388]",,0,126,S,26.12,2026-06-29T10:17:34.720Z
1098_1388_2087_null_26.12,"[1098,1388,2087]",,0,121,S,26.12,2026-06-29T10:17:34.720Z
1030_1056_2087_null_26.12,"[1030,1056,2087]",,0,118,S,26.12,2026-06-29T10:17:34.720Z
1030_1098_1388_null_26.12,"[1030,1098,1388]",,0,118,S,26.12,2026-06-29T10:17:34.720Z
1098_1388_2018_null_26.12,"[1098,1388,2018]",,0,104,S,26.12,2026-06-29T10:17:34.720Z
1045_1390_2132_null_26.12,"[1045,1390,2132]",,0,300,S,26.12,2026-06-29T10:17:34.720Z
1044_1390_2132_null_26.12,"[1044,1390,2132]",,0,210,S,26.12,2026-06-29T10:17:34.720Z
1045_1056_1353_null_26.12,"[1045,1056,1353]",,0,189,S,26.12,2026-06-29T10:17:34.720Z
1332_2132_2137_null_26.12,"[1332,2132,2137]",,0,185,S,26.12,2026-06-29T10:17:34.720Z
1045_1136_2132_null_26.12,"[1045,1136,2132]",,0,176,S,26.12,2026-06-29T10:17:34.720Z
1045_1332_2132_null_26.12,"[1045,1332,2132]",,0,175,S,26.12,2026-06-29T10:17:34.720Z
1332_1390_2132_null_26.12,"[1332,1390,2132]",,0,152,S,26.12,2026-06-29T10:17:34.720Z
