_id,champion_id,augment_id,stage,win_rate,pick_rate,sample_size,patch_version,updated_at
0_2127_7_26.12,0,2127,7,49.94,0,31575,26.12,2026-06-29T10:17:34.725Z
0_2127_11_26.12,0,2127,11,49.95,0,41402,26.12,2026-06-29T10:17:34.725Z
0_2127_15_26.12,0,2127,15,49.1,0,36643,26.12,2026-06-29T10:17:34.725Z
0_2127_18_26.12,0,2127,18,61.4,0,57,26.12,2026-06-29T10:17:34.725Z
0_2116_3_26.12,0,2116,3,46.38,0,12486,26.12,2026-06-29T10:17:34.725Z
0_2116_7_26.12,0,2116,7,45.09,0,16910,26.12,2026-06-29T10:17:34.725Z
0_2116_11_26.12,0,2116,11,47.9,0,22841,26.12,2026-06-29T10:17:34.725Z
0_2116_15_26.12,0,2116,15,46.33,0,23673,26.12,2026-06-29T10:17:34.725Z
0_1180_3_26.12,0,1180,3,52.33,0,19507,26.12,2026-06-29T10:17:34.725Z
0_1180_7_26.12,0,1180,7,51.46,0,60611,26.12,2026-06-29T10:17:34.725Z
0_1180_11_26.12,0,1180,11,51.95,0,60138,26.12,2026-06-29T10:17:34.725Z
0_1180_15_26.12,0,1180,15,50.87,0,58933,26.12,2026-06-29T10:17:34.725Z
0_2096_3_26.12,0,2096,3,48.7,0,63791,26.12,2026-06-29T10:17:34.725Z
0_2096_7_26.12,0,2096,7,47.31,0,2253,26.12,2026-06-29T10:17:34.725Z
0_2096_11_26.12,0,2096,11,47.26,0,3415,26.12,2026-06-29T10:17:34.725Z
0_2096_15_26.12,0,2096,15,46.85,0,3274,26.12,2026-06-29T10:17:34.725Z
0_1415_3_26.12,0,1415,3,47.3,0,6317,26.12,2026-06-29T10:17:34.725Z
0_1415_7_26.12,0,1415,7,49.21,0,567,26.12,2026-06-29T10:17:34.725Z
0_1415_11_26.12,0,1415,11,45.65,0,758,26.12,2026-06-29T10:17:34.725Z
0_1415_15_26.12,0,1415,15,44.8,0,1096,26.12,2026-06-29T10:17:34.725Z
0_1004_3_26.12,0,1004,3,51.14,0,40922,26.12,2026-06-29T10:17:34.725Z
0_1004_7_26.12,0,1004,7,49.38,0,42263,26.12,2026-06-29T10:17:34.725Z
0_1004_11_26.12,0,1004,11,48.64,0,38613,26.12,2026-06-29T10:17:34.725Z
0_1004_15_26.12,0,1004,15,47.27,0,34784,26.12,2026-06-29T10:17:34.725Z
0_1333_3_26.12,0,1333,3,48.77,0,23466,26.12,2026-06-29T10:17:34.725Z
0_1333_7_26.12,0,1333,7,48.69,0,31856,26.12,2026-06-29T10:17:34.725Z
0_1333_11_26.12,0,1333,11,49.9,0,41968,26.12,2026-06-29T10:17:34.725Z
0_1333_15_26.12,0,1333,15,49,0,37511,26.12,2026-06-29T10:17:34.725Z
0_1333_18_26.12,0,1333,18,75.52,0,241,26.12,2026-06-29T10:17:34.725Z
0_1051_3_26.12,0,1051,3,57.92,0,147096,26.12,2026-06-29T10:17:34.725Z
0_1051_7_26.12,0,1051,7,55.18,0,106439,26.12,2026-06-29T10:17:34.725Z
0_1051_11_26.12,0,1051,11,47.83,0,253,26.12,2026-06-29T10:17:34.725Z
0_1051_15_26.12,0,1051,15,52.23,0,157,26.12,2026-06-29T10:17:34.725Z
0_2077_3_26.12,0,2077,3,54.47,0,4478,26.12,2026-06-29T10:17:34.725Z
0_2077_7_26.12,0,2077,7,51.36,0,6556,26.12,2026-06-29T10:17:34.725Z
0_2077_11_26.12,0,2077,11,51.77,0,10493,26.12,2026-06-29T10:17:34.725Z
0_2077_15_26.12,0,2077,15,51.43,0,11881,26.12,2026-06-29T10:17:34.725Z
0_2077_18_26.12,0,2077,18,74.14,0,116,26.12,2026-06-29T10:17:34.725Z
0_2095_3_26.12,0,2095,3,55.05,0,110996,26.12,2026-06-29T10:17:34.725Z
0_2095_7_26.12,0,2095,7,55.6,0,111925,26.12,2026-06-29T10:17:34.725Z
0_2095_11_26.12,0,2095,11,59.59,0,147806,26.12,2026-06-29T10:17:34.725Z
0_2095_15_26.12,0,2095,15,56.57,0,115538,26.12,2026-06-29T10:17:34.725Z
0_2095_18_26.12,0,2095,18,66.84,0,193,26.12,2026-06-29T10:17:34.725Z
0_1080_3_26.12,0,1080,3,48.19,0,36180,26.12,2026-06-29T10:17:34.725Z
0_1080_7_26.12,0,1080,7,47.91,0,48514,26.12,2026-06-29T10:17:34.725Z
0_1080_11_26.12,0,1080,11,49.33,0,61656,26.12,2026-06-29T10:17:34.725Z
0_1080_15_26.12,0,1080,15,48.46,0,55354,26.12,2026-06-29T10:17:34.725Z
0_1080_18_26.12,0,1080,18,70.55,0,421,26.12,2026-06-29T10:17:34.725Z
0_1220_3_26.12,0,1220,3,45.17,0,5530,26.12,2026-06-29T10:17:34.725Z
0_1220_7_26.12,0,1220,7,45.06,0,19374,26.12,2026-06-29T10:17:34.725Z
0_1220_11_26.12,0,1220,11,46.9,0,20552,26.12,2026-06-29T10:17:34.725Z
0_1220_15_26.12,0,1220,15,48.58,0,21301,26.12,2026-06-29T10:17:34.725Z
0_1029_3_26.12,0,1029,3,52.07,0,6341,26.12,2026-06-29T10:17:34.725Z
0_1029_7_26.12,0,1029,7,48.95,0,7728,26.12,2026-06-29T10:17:34.725Z
